108	RewriteCardinalDigit_Default_Default_Default_MarkStartMajorCurrency_Default	rewriteApplyCardinalDigit.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst	MajorCurrency	
109	Default_Default_AppendHttps_SpaceInsertBefore_Default_Default	appendApplyHttps.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
110	RewriteCardinalTwoDigit_PrependPoint_Default_SpaceInsertBefore_MarkStartMajorCurrency_Default	rewriteApplyCardinalTwoDigit.fst,prependApplyPoint.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	MajorCurrency	
111	RewriteRadioAlphabet_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyRadioAlphabet.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
112	RewriteAbbreviateMeasure_Default_AppendCube_SpaceInsertBefore_Default_Default	rewriteApplyAbbreviateMeasure.fst,appendApplyCube.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
113	RewriteCardinalDigit_PrependNumberSign_Default_SpaceInsertBefore_Default_Default	rewriteApplyCardinalDigit.fst,prependApplyNumberSign.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
114	RewriteCardinalTwoDigit_Default_Default_SpaceInsertBefore_Default_MarkEndTime	rewriteApplyCardinalTwoDigit.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		Time
115	RewriteCardinalTwoDigit_Default_Default_SpaceInsertBefore_MarkStartTime_Default	rewriteApplyCardinalTwoDigit.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	Time	
116	RewriteRemoveSpaceAndLowercase_Default_Default_Default_Default_Default	rewriteApplyRemoveSpaceAndLowercase.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
117	RewriteLowercase_Default_AppendHttps_Default_Default_Default	rewriteApplyLowercase.fst,appendApplyHttps.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
118	RewriteDecimalMagnitude2s_Default_AppendComma_Default_Default_Default	rewriteApplyDecimalMagnitude2s.fst,appendApplyComma.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
119	RewriteCardinalDecade_Default_Default_SpaceInsertBefore_MarkStartCurrencyRange_Default	rewriteApplyCardinalDecade.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	CurrencyRange	
120	RewriteCardinalTwoDigit_Default_Default_SpaceInsertBefore_MarkStartCurrencyRange_Default	rewriteApplyCardinalTwoDigit.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	CurrencyRange	
121	Default_Default_Default_SpaceInsertBefore_Default_MarkEndDoubleL	spaceApplyDefault.fst,rewriteApplyDefault.fst		DoubleL
122	Default_Default_Default_Default_MarkStartTripleL_Default	spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst	TripleL	
123	Default_Default_Default_SpaceInsertBefore_MarkStartTripleL_Default	spaceApplyDefault.fst,rewriteApplyDefault.fst	TripleL	
124	RewriteCardinalDigit_Default_Default_SpaceInsertBefore_Default_MarkEndDouble	rewriteApplyCardinalDigit.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		Double
125	RewriteCardinalDecadeFirstDigit_Default_Default_SpaceInsertBefore_MarkStartCurrencyRange_Default	rewriteApplyCardinalDecadeFirstDigit.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	CurrencyRange	
126	RewriteDenominatorDecade_Default_Default_Default_Default_Default	rewriteApplyDenominatorDecade.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
127	RewritePointToDot_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyPointToDot.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
128	RewriteCardinalHundred2s_Default_Default_Default_Default_Default	rewriteApplyCardinalHundred2s.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
129	RewritePluralCardinal_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyPluralCardinal.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
130	RewriteCardinalDecade_Default_AppendSlash_SpaceInsertBefore_Default_Default	rewriteApplyCardinalDecade.fst,appendApplySlash.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
131	RewriteCardinalDigit_Default_Default_SpaceInsertBefore_MarkStartTime_Default	rewriteApplyCardinalDigit.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	Time	
132	Default_Default_Default_SpaceInsertBefore_MarkStartDouble_Default	spaceApplyDefault.fst,rewriteApplyDefault.fst	Double	
133	RewriteRadioAlphabetUpper_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyRadioAlphabetUpper.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
134	RewritePluralCardinal_Default_Default_Default_Default_Default	rewriteApplyPluralCardinal.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
135	RewriteCardinalHundred1s_Default_Default_Default_Default_Default	rewriteApplyCardinalHundred1s.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
136	RewriteCardinalDigit_Default_Default_SpaceInsertBefore_MarkStartArabicToRoman_Default	rewriteApplyCardinalDigit.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	ArabicToRoman	
137	RewriteOrdinalAsCardinal_Default_AppendHyphen_SpaceInsertBefore_Default_Default	rewriteApplyOrdinalAsCardinal.fst,appendApplyHyphen.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
